CustomerID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,Segment
12457,58,7,"? 2,363.23",2,4,4,244,Loyal Customers
12458,63,2,? 947.40,2,2,3,223,Others
12461,86,2,? 826.88,2,2,3,223,Others
12462,10,2,"? 1,189.59",3,2,3,323,Potential Loyalist
12463,45,4,"? 1,344.78",2,3,3,233,Loyal Customers
12464,2,8,"? 1,212.05",4,4,3,443,Champions
12465,9,2,? 742.19,4,2,3,423,Potential Loyalist
12468,179,2,? 729.54,1,2,3,123,Others
12471,-6,30,"? 19,824.05",4,4,4,444,Champions
12472,24,7,"? 6,572.11",3,4,4,344,Loyal Customers
12473,21,5,"? 3,938.55",3,3,4,334,Loyal Customers
12474,9,18,"? 7,375.79",4,4,4,444,Champions
12475,45,1,? 723.38,2,1,3,213,Others
12476,7,11,"? 6,816.42",4,4,4,444,Champions
12477,14,6,"? 13,219.74",3,4,4,344,Loyal Customers
12478,-5,1,? 680.99,4,1,3,413,Potential Loyalist
12479,3,1,? 527.20,4,1,2,412,Potential Loyalist
12480,20,4,"? 3,281.63",3,3,4,334,Loyal Customers
12481,14,10,"? 5,596.32",3,4,4,344,Loyal Customers
12483,9,8,"? 2,484.98",4,4,4,444,Champions
12484,24,6,"? 4,541.72",3,4,4,344,Loyal Customers
12488,1,3,"? 1,298.66",4,3,3,433,Loyal Customers
12489,328,1,? 334.93,1,1,2,112,Lost Customers
12490,-3,10,"? 5,417.93",4,4,4,444,Champions
12491,30,1,? 460.40,3,1,2,312,Potential Loyalist
12492,55,2,? 263.21,2,2,1,221,Others
12493,157,2,? 433.74,1,2,2,122,Others
12494,7,7,"? 1,246.10",4,4,3,443,Champions
12497,73,1,"? 1,043.10",2,1,3,213,Others
12498,13,3,? 403.70,3,3,2,332,Others
12500,15,11,"? 4,257.82",3,4,4,344,Loyal Customers
12501,328,1,"? 2,169.39",1,1,4,114,Lost Customers
12502,87,5,"? 3,723.87",2,3,4,234,Loyal Customers
12504,10,2,? 482.05,3,2,2,322,Potential Loyalist
12506,224,1,? 73.50,1,1,1,111,Lost Customers
12507,126,3,"? 1,304.81",2,3,3,233,Loyal Customers
12508,18,2,? 398.27,3,2,2,322,Potential Loyalist
12509,276,1,? 176.50,1,1,1,111,Lost Customers
12510,134,2,? 982.57,1,2,3,123,Others
12512,58,2,? 138.03,2,2,1,221,Others
12513,104,1,? 612.29,2,1,2,212,Others
12514,259,1,"? 1,017.68",1,1,3,113,Lost Customers
12515,345,1,? 383.70,1,1,2,112,Lost Customers
12516,69,2,"? 1,312.06",2,2,3,223,Others
12517,20,5,"? 2,502.84",3,3,4,334,Loyal Customers
12518,-8,5,"? 2,056.89",4,3,4,434,Loyal Customers
12519,55,1,? 340.84,2,1,2,212,Others
12520,71,5,"? 2,634.26",2,3,4,234,Loyal Customers
12521,134,1,? 599.68,1,1,2,112,Lost Customers
12522,31,2,? 192.72,3,2,1,321,Potential Loyalist
12523,11,11,"? 1,789.77",3,4,4,344,Loyal Customers
12524,1,8,"? 4,485.72",4,4,4,444,Champions
12526,-8,3,"? 1,316.66",4,3,3,433,Loyal Customers
12527,73,3,? 348.71,2,3,2,232,Others
12528,1,6,"? 1,933.48",4,4,4,444,Champions
12530,51,4,"? 1,662.28",2,3,4,234,Loyal Customers
12531,6,1,? 125.22,4,1,1,411,Potential Loyalist
12532,22,1,? 349.83,3,1,2,312,Potential Loyalist
12534,122,1,"? 1,089.18",2,1,3,213,Others
12535,83,2,? 716.35,2,2,3,223,Others
12536,35,3,"? 12,601.83",3,3,4,334,Loyal Customers
12538,21,1,? 363.95,3,1,2,312,Potential Loyalist
12539,14,4,"? 5,568.35",3,3,4,334,Loyal Customers
12540,11,17,"? 13,400.24",3,4,4,344,Loyal Customers
12541,21,3,? 981.18,3,3,3,333,Loyal Customers
12544,28,1,? 372.70,3,1,2,312,Potential Loyalist
12545,67,2,"? 1,000.39",2,2,3,223,Others
12546,38,2,"? 1,161.50",3,2,3,323,Potential Loyalist
12547,189,2,? 207.80,1,2,1,121,Others
12548,158,1,? 95.20,1,1,1,111,Lost Customers
12550,71,1,? 964.83,2,1,3,213,Others
12551,349,1,? 168.00,1,1,1,111,Lost Customers
12552,30,2,? 437.82,3,2,2,322,Potential Loyalist
12553,0,10,"? 3,692.28",4,4,4,444,Champions
12556,42,2,? 603.71,3,2,2,322,Potential Loyalist
12557,8,5,"? 11,990.96",4,3,4,434,Loyal Customers
12558,-1,1,? 269.96,4,1,1,411,Potential Loyalist
12559,302,2,? 561.71,1,2,2,122,Others
12560,-3,3,"? 2,134.01",4,3,4,434,Loyal Customers
12561,294,1,? 238.85,1,1,1,111,Lost Customers
12562,0,7,"? 3,781.74",4,4,4,444,Champions
12564,253,1,? 456.90,1,1,2,112,Lost Customers
12565,280,1,? 145.92,1,1,1,111,Lost Customers
12566,78,1,? 351.65,2,1,2,212,Others
12567,14,10,"? 9,401.28",3,4,4,344,Loyal Customers
12569,-6,32,"? 4,124.69",4,4,4,444,Champions
12571,31,2,? 519.61,3,2,2,322,Potential Loyalist
12572,0,2,"? 1,020.42",4,2,3,423,Potential Loyalist
12573,219,1,? 160.54,1,1,1,111,Lost Customers
12574,307,1,? 218.45,1,1,1,111,Lost Customers
12576,27,5,"? 1,315.83",3,3,3,333,Loyal Customers
12577,27,3,? 657.80,3,3,2,332,Others
12578,13,2,"? 2,794.51",3,2,4,324,Potential Loyalist
12579,70,1,? 440.42,2,1,2,212,Others
12580,238,1,? 415.70,1,1,2,112,Lost Customers
12581,31,1,? 197.71,3,1,1,311,Potential Loyalist
12582,230,2,? 511.36,1,2,2,122,Others
12583,-6,15,"? 7,281.38",4,4,4,444,Champions
12584,-5,9,"? 2,338.15",4,4,4,444,Champions
12585,226,2,"? 2,040.10",1,2,4,124,Others
12586,9,1,? 196.94,4,1,1,411,Potential Loyalist
12587,-1,1,? 144.00,4,1,1,411,Potential Loyalist
12588,31,1,? 214.90,3,1,1,311,Potential Loyalist
12589,20,2,? 646.68,3,2,2,322,Potential Loyalist
12590,203,2,"? 9,864.26",1,2,4,124,Others
12591,309,1,? 452.85,1,1,2,112,Lost Customers
12592,84,2,? 437.60,2,2,2,222,Others
12593,100,3,? 418.10,2,3,2,232,Others
12594,29,10,"? 3,338.22",3,4,4,344,Loyal Customers
12596,43,2,? 618.27,2,2,2,222,Others
12597,11,4,"? 3,811.22",3,3,4,334,Loyal Customers
12598,1,8,"? 3,023.08",4,4,4,444,Champions
12599,21,7,"? 1,032.58",3,4,3,343,Loyal Customers
12600,20,10,"? 2,599.04",3,4,4,344,Loyal Customers
12601,181,5,? 577.06,1,3,2,132,Others
12602,50,1,? 153.12,2,1,1,211,Others
12603,13,1,? 739.20,3,1,3,313,Potential Loyalist
12604,71,2,? 254.18,2,2,1,221,Others
12607,52,1,"? 1,579.51",2,1,3,213,Others
12609,70,3,"? 1,126.85",2,3,3,233,Loyal Customers
12610,14,5,"? 2,099.54",3,3,4,334,Loyal Customers
12611,44,1,"? 1,193.32",2,1,3,213,Others
12612,66,1,? 704.04,2,1,3,213,Others
12613,49,5,"? 3,344.38",2,3,4,234,Loyal Customers
12614,269,1,? 315.60,1,1,2,112,Lost Customers
12615,-6,4,"? 2,291.19",4,3,4,434,Loyal Customers
12616,87,2,? 713.30,2,2,3,223,Others
12617,21,1,? 355.53,3,1,2,312,Potential Loyalist
12618,13,1,? 177.31,3,1,1,311,Potential Loyalist
12619,8,9,"? 3,641.24",4,4,4,444,Champions
12620,6,3,"? 1,339.41",4,3,3,433,Loyal Customers
12621,-7,20,"? 13,689.67",4,4,4,444,Champions
12622,224,1,? 180.10,1,1,1,111,Lost Customers
12623,268,1,? 305.10,1,1,1,111,Lost Customers
12624,98,2,? 641.13,2,2,2,222,Others
12625,203,2,"? 2,683.82",1,2,4,124,Others
12626,15,9,"? 6,620.48",3,4,4,344,Loyal Customers
12627,2,7,"? 4,478.53",4,4,4,444,Champions
12628,-4,3,? 786.46,4,3,3,433,Loyal Customers
12630,1,2,"? 1,270.88",4,2,3,423,Potential Loyalist
12631,49,1,? 640.50,2,1,2,212,Others
12633,50,4,"? 2,163.98",2,3,4,234,Loyal Customers
12635,81,2,"? 1,689.18",2,2,4,224,Others
12637,59,8,"? 6,021.90",2,4,4,244,Loyal Customers
12638,25,1,? 671.69,3,1,2,312,Potential Loyalist
12639,230,1,? 486.10,1,1,2,112,Lost Customers
12640,15,3,"? 1,174.58",3,3,3,333,Loyal Customers
12641,107,1,? 185.90,2,1,1,211,Others
12642,17,3,"? 1,013.26",3,3,3,333,Loyal Customers
12643,120,6,"? 3,344.64",2,4,4,244,Loyal Customers
12644,121,1,? 477.91,2,1,2,212,Others
12645,25,4,"? 1,775.18",3,3,4,334,Loyal Customers
12646,-4,2,"? 1,346.97",4,2,3,423,Potential Loyalist
12647,14,12,"? 3,722.82",3,4,4,344,Loyal Customers
12648,146,1,? 318.05,1,1,2,112,Lost Customers
12649,99,3,? 623.51,2,3,2,232,Others
12650,-5,1,? 314.44,4,1,2,412,Potential Loyalist
12651,326,1,? 114.00,1,1,1,111,Lost Customers
12652,323,1,? 919.98,1,1,3,113,Lost Customers
12653,140,2,"? 2,209.85",1,2,4,124,Others
12654,2,5,? 601.98,4,3,2,432,Others
12656,9,5,"? 4,051.17",4,3,4,434,Loyal Customers
12657,3,4,"? 1,643.18",4,3,3,433,Loyal Customers
12658,10,1,? 686.05,3,1,3,313,Potential Loyalist
12659,21,1,? 91.68,3,1,1,311,Potential Loyalist
12660,3,1,? 245.10,4,1,1,411,Potential Loyalist
12662,-8,11,"? 3,849.78",4,4,4,444,Champions
12664,0,9,"? 4,881.88",4,4,4,444,Champions
12665,316,1,? 63.00,1,1,1,111,Lost Customers
12667,50,1,? 620.13,2,1,2,212,Others
12668,3,4,"? 3,807.15",4,3,4,434,Loyal Customers
12669,142,3,"? 2,744.03",1,3,4,134,Loyal Customers
12670,2,5,"? 2,996.05",4,3,4,434,Loyal Customers
12672,321,1,? 225.90,1,1,1,111,Lost Customers
12673,-3,2,? 610.52,4,2,2,422,Potential Loyalist
12674,30,4,"? 1,970.60",3,3,4,334,Loyal Customers
12676,16,6,"? 1,331.39",3,4,3,343,Loyal Customers
12678,34,12,"? 17,628.46",3,4,4,344,Loyal Customers
12679,50,4,"? 1,113.02",2,3,3,233,Loyal Customers
12680,-8,4,? 862.81,4,3,3,433,Loyal Customers
12681,6,22,"? 13,787.54",4,4,4,444,Champions
12682,-5,31,"? 12,288.22",4,4,4,444,Champions
12683,-4,15,"? 8,476.57",4,4,4,444,Champions
12684,-1,7,"? 2,283.63",4,4,4,444,Champions
12685,20,6,"? 2,863.08",3,4,4,344,Loyal Customers
12686,363,1,? 89.14,1,1,1,111,Lost Customers
12688,105,1,"? 4,873.81",2,1,4,214,Others
12689,17,2,"? 1,247.61",3,2,3,323,Potential Loyalist
12690,197,1,? 389.01,1,1,2,112,Lost Customers
12691,20,6,"? 1,035.80",3,4,3,343,Loyal Customers
12693,119,4,? 855.91,2,3,3,233,Loyal Customers
12694,62,2,? 869.67,2,2,3,223,Others
12695,-1,4,? 582.10,4,3,2,432,Others
12697,20,3,? 957.59,3,3,3,333,Loyal Customers
12700,-1,4,"? 4,939.99",4,3,4,434,Loyal Customers
12701,71,2,? 797.71,2,2,3,223,Others
12702,11,1,? 219.00,3,1,1,311,Potential Loyalist
12703,63,1,? 283.55,2,1,1,211,Others
12704,-1,8,"? 2,340.84",4,4,4,444,Champions
12705,7,9,"? 6,868.29",4,4,4,444,Champions
12707,283,1,? 603.42,1,1,2,112,Lost Customers
12708,21,10,"? 2,712.91",3,4,4,344,Loyal Customers
12709,7,15,"? 9,736.52",4,4,4,444,Champions
12710,88,3,"? 1,149.02",2,3,3,233,Loyal Customers
12712,20,13,"? 4,396.13",3,4,4,344,Loyal Customers
12713,-8,1,? 848.55,4,1,3,413,Potential Loyalist
12714,1,5,"? 4,708.86",4,3,4,434,Loyal Customers
12715,98,1,? 353.86,2,1,2,212,Others
12716,-5,2,"? 1,053.49",4,2,3,423,Potential Loyalist
12717,143,2,"? 1,030.98",1,2,3,123,Others
12718,63,1,? 238.25,2,1,1,211,Others
12719,-3,2,? 644.95,4,2,2,422,Potential Loyalist
12720,-6,25,"? 5,781.73",4,4,4,444,Champions
12721,23,6,"? 2,656.13",3,4,4,344,Loyal Customers
12722,77,4,? 997.63,2,3,3,233,Loyal Customers
12723,-5,5,? 725.07,4,3,3,433,Loyal Customers
12724,-3,4,"? 1,031.41",4,3,3,433,Loyal Customers
12725,363,1,? 427.80,1,1,2,112,Lost Customers
12726,20,7,"? 2,609.10",3,4,4,344,Loyal Customers
12727,2,7,"? 3,980.70",4,4,4,444,Champions
12728,63,4,? 836.33,2,3,3,233,Loyal Customers
12729,105,1,? 453.01,2,1,2,212,Others
12731,15,12,"? 18,895.91",3,4,4,344,Loyal Customers
12732,171,1,? 236.26,1,1,1,111,Lost Customers
12733,226,1,? 383.95,1,1,2,112,Lost Customers
12734,344,1,? 110.40,1,1,1,111,Lost Customers
12735,307,2,? 779.57,1,2,3,123,Others
12736,324,1,? 234.00,1,1,1,111,Lost Customers
12738,364,1,? 155.35,1,1,1,111,Lost Customers
12739,70,2,"? 1,013.04",2,2,3,223,Others
12740,55,1,? 427.60,2,1,2,212,Others
12743,126,2,? 546.43,2,2,2,222,Others
12744,43,7,"? 21,279.29",2,4,4,244,Loyal Customers
12747,-6,11,"? 4,196.01",4,4,4,444,Champions
12748,-8,210,"? 33,719.73",4,4,4,444,Champions
12749,-5,5,"? 4,090.88",4,3,4,434,Loyal Customers
12750,120,1,? 275.88,2,1,1,211,Others
12752,73,1,"? 4,366.78",2,1,4,214,Others
12753,14,6,"? 21,429.39",3,4,4,344,Loyal Customers
12754,227,3,"? 3,010.74",1,3,4,134,Loyal Customers
12755,272,2,"? 3,811.95",1,2,4,124,Others
12756,78,1,? 112.08,2,1,1,211,Others
12757,7,13,"? 7,857.10",4,4,4,444,Champions
12758,108,2,"? 2,791.59",2,2,4,224,Others
12759,44,3,"? 1,531.44",2,3,3,233,Loyal Customers
12762,-1,2,"? 1,898.52",4,2,4,424,Potential Loyalist
12763,130,2,? 494.08,2,2,2,222,Others
12764,308,1,"? 1,693.88",1,1,4,114,Lost Customers
12766,-5,7,"? 6,989.63",4,4,4,444,Champions
12769,230,1,"? 1,143.60",1,1,3,113,Lost Customers
12770,202,1,"? 1,351.45",1,1,3,113,Lost Customers
12772,51,1,? 892.47,2,1,3,213,Others
12775,9,5,"? 1,386.04",4,3,3,433,Loyal Customers
12778,11,6,? 822.23,3,4,3,343,Loyal Customers
12779,29,8,"? 3,981.36",3,4,4,344,Loyal Customers
12781,55,2,? 826.74,2,2,3,223,Others
12782,-4,5,"? 2,330.92",4,3,4,434,Loyal Customers
12783,-6,6,"? 2,225.91",4,4,4,444,Champions
12784,1,2,? 574.42,4,2,2,422,Potential Loyalist
12785,356,1,? 311.95,1,1,2,112,Lost Customers
12787,1,3,? 463.66,4,3,2,432,Others
12789,57,1,? 91.85,2,1,1,211,Others
12790,184,1,? 324.92,1,1,2,112,Lost Customers
12791,365,1,? 192.60,1,1,1,111,Lost Customers
12792,248,1,? 400.54,1,1,2,112,Lost Customers
12793,326,2,? 545.48,1,2,2,122,Others
12794,45,2,? 860.41,2,2,3,223,Others
12795,10,1,? 430.48,3,1,2,312,Potential Loyalist
12797,357,1,? 254.03,1,1,1,111,Lost Customers
12798,2,3,"? 6,977.04",4,3,4,434,Loyal Customers
12802,178,1,? 427.58,1,1,2,112,Lost Customers
12808,28,3,? 483.65,3,3,2,332,Others
12809,169,1,? 489.31,1,1,2,112,Lost Customers
12811,252,3,? 514.85,1,3,2,132,Others
12812,36,1,? 229.64,3,1,1,311,Potential Loyalist
12814,93,1,? 125.92,2,1,1,211,Others
12815,139,2,"? 1,063.46",1,2,3,123,Others
12816,87,2,? 572.20,2,2,2,222,Others
12817,273,1,? 166.04,1,1,1,111,Lost Customers
12818,253,1,"? 1,542.08",1,1,3,113,Lost Customers
12820,-5,4,? 942.34,4,3,3,433,Loyal Customers
12821,206,1,? 92.72,1,1,1,111,Lost Customers
12822,62,2,? 948.88,2,2,3,223,Others
12823,66,5,"? 1,759.50",2,3,4,234,Loyal Customers
12824,51,1,? 397.12,2,1,2,212,Others
12826,-6,7,"? 1,474.72",4,4,3,443,Champions
12827,-3,3,? 430.15,4,3,2,432,Others
12828,-6,6,"? 1,018.71",4,4,3,443,Champions
12829,328,2,? 293.00,1,2,1,121,Others
12830,29,6,"? 6,814.64",3,4,4,344,Loyal Customers
12831,254,1,? 215.05,1,1,1,111,Lost Customers
12832,24,2,? 383.03,3,2,2,322,Potential Loyalist
12833,137,1,? 417.38,1,1,2,112,Lost Customers
12834,274,1,? 312.38,1,1,2,112,Lost Customers
12836,51,4,"? 2,612.86",2,3,4,234,Loyal Customers
12837,165,1,? 134.10,1,1,1,111,Lost Customers
12838,25,2,? 683.13,3,2,3,323,Potential Loyalist
12839,-6,14,"? 5,591.42",4,4,4,444,Champions
12840,135,4,"? 2,726.77",1,3,4,134,Loyal Customers
12841,-4,25,"? 4,022.35",4,4,4,444,Champions
12842,62,2,"? 1,118.99",2,2,3,223,Others
12843,57,8,"? 1,702.26",2,4,4,244,Loyal Customers
12844,21,2,? 325.96,3,2,2,322,Potential Loyalist
12845,259,4,? 354.09,1,3,2,132,Others
12847,14,1,? 871.54,3,1,3,313,Potential Loyalist
12849,23,2,"? 1,050.89",3,2,3,323,Potential Loyalist
12851,88,1,? 135.18,2,1,1,211,Others
12852,286,1,? 311.55,1,1,2,112,Lost Customers
12853,126,6,"? 1,957.10",2,4,4,244,Loyal Customers
12854,70,3,"? 1,324.50",2,3,3,233,Loyal Customers
12855,364,1,? 38.10,1,1,1,111,Lost Customers
12856,-1,6,"? 2,179.93",4,4,4,444,Champions
12857,202,2,"? 1,106.40",1,2,3,123,Others
12863,44,1,? 521.20,2,1,2,212,Others
12864,130,1,? 147.12,2,1,1,211,Others
12865,18,2,"? 1,568.23",3,2,3,323,Potential Loyalist
12866,275,1,? 559.12,1,1,2,112,Lost Customers
12867,18,7,"? 4,036.82",3,4,4,344,Loyal Customers
12868,177,6,"? 1,607.06",1,4,3,143,Loyal Customers
12871,76,2,? 380.64,2,2,2,222,Others
12872,318,2,? 599.97,1,2,2,122,Others
12873,274,1,? 374.00,1,1,2,112,Lost Customers
12875,135,2,? 343.23,1,2,2,122,Others
12876,49,2,"? 2,218.02",2,2,4,224,Others
12877,-5,12,"? 1,535.77",4,4,3,443,Champions
12878,228,2,? 854.99,1,2,3,123,Others
12879,36,3,? 573.22,3,3,2,332,Others
12881,267,1,? 298.00,1,1,1,111,Lost Customers
12882,1,2,"? 1,463.04",4,2,3,423,Potential Loyalist
12883,16,4,? 703.47,3,3,3,333,Loyal Customers
12884,80,1,? 309.05,2,1,2,212,Others
12885,55,3,"? 1,175.22",2,3,3,233,Loyal Customers
12886,59,2,"? 1,378.40",2,2,3,223,Others
12888,206,2,? 354.12,1,2,2,122,Others
12890,16,1,? 380.47,3,1,2,312,Potential Loyalist
12891,177,3,? 331.00,1,3,2,132,Others
12893,22,1,? 188.14,3,1,1,311,Potential Loyalist
12895,34,2,? 372.80,3,2,2,322,Potential Loyalist
12897,196,2,? 216.50,1,2,1,121,Others
12901,0,28,"? 17,654.54",4,4,4,444,Champions
12902,256,1,? 138.68,1,1,1,111,Lost Customers
12904,10,2,? 509.58,3,2,2,322,Potential Loyalist
12906,3,5,"? 2,919.81",4,3,4,434,Loyal Customers
12908,168,2,? 750.00,1,2,3,123,Others
12909,31,5,"? 2,178.67",3,3,4,334,Loyal Customers
12910,15,8,"? 3,075.04",3,4,4,344,Loyal Customers
12912,-6,5,"? 1,662.30",4,3,4,434,Loyal Customers
12913,-4,5,"? 2,483.63",4,3,4,434,Loyal Customers
12915,140,2,? 363.65,1,2,2,122,Others
12916,130,4,"? 3,006.15",2,3,4,234,Loyal Customers
12917,120,1,? 594.00,2,1,2,212,Others
12919,0,6,"? 1,335.19",4,4,3,443,Champions
12920,9,1,? 164.23,4,1,1,411,Potential Loyalist
12921,1,37,"? 16,587.09",4,4,4,444,Champions
12922,153,1,? 405.38,1,1,2,112,Lost Customers
12923,56,1,? 176.97,2,1,1,211,Others
12924,80,4,? 933.70,2,3,3,233,Loyal Customers
12925,-4,2,? 694.05,4,2,3,423,Potential Loyalist
12928,27,5,"? 2,062.70",3,4,4,344,Loyal Customers
12929,303,1,? 117.85,1,1,1,111,Lost Customers
12930,70,2,? 415.80,2,2,2,222,Others
12931,13,15,"? 42,055.96",3,4,4,344,Loyal Customers
12933,16,3,? 607.53,3,3,2,332,Others
12935,-6,7,"? 2,160.70",4,4,4,444,Champions
12936,9,4,"? 1,063.90",4,3,3,433,Loyal Customers
12937,7,4,"? 1,504.27",4,3,3,433,Loyal Customers
12938,17,1,? 114.14,3,1,1,311,Potential Loyalist
12939,56,8,"? 11,581.80",2,4,4,244,Loyal Customers
12940,46,2,? 913.54,2,2,3,223,Others
12942,123,3,? 683.90,2,3,3,233,Loyal Customers
12944,27,2,? 604.51,3,2,2,322,Potential Loyalist
12945,280,1,? 462.95,1,1,2,112,Lost Customers
12947,135,6,"? 1,603.99",1,4,3,143,Loyal Customers
12948,8,7,"? 2,064.95",4,4,4,444,Champions
12949,22,8,"? 4,167.22",3,4,4,344,Loyal Customers
12950,-6,3,"? 1,843.00",4,3,4,434,Loyal Customers
12951,0,6,"? 1,064.07",4,4,3,443,Champions
12952,-3,4,"? 1,387.79",4,3,3,433,Loyal Customers
12953,1,1,? 329.85,4,1,2,412,Potential Loyalist
12955,-7,11,"? 4,757.16",4,4,4,444,Champions
12956,298,1,? 108.07,1,1,1,111,Lost Customers
12957,1,8,"? 4,017.54",4,4,4,444,Champions
12962,-1,2,? 266.39,4,2,1,421,Potential Loyalist
12963,0,8,"? 1,856.63",4,4,4,444,Champions
12965,81,1,? 771.91,2,1,3,213,Others
12966,1,1,? 160.18,4,1,1,411,Potential Loyalist
12967,350,2,"? 1,660.90",1,2,3,123,Others
12968,104,1,? 135.95,2,1,1,211,Others
12970,-1,4,? 452.24,4,3,2,432,Others
12971,-5,86,"? 11,189.91",4,4,4,444,Champions
